from_pkg	to_pkg	via
Cython	aaa_glibc-solibs	linked
Cython	python-lxml	hint:import
Cython	python-numpy	hint:import
Cython	python-pygments	hint:import
GConf	aaa_glibc-solibs	linked
GConf	aaa_libraries	linked
GConf	cyrus-sasl	lib
GConf	dbus	linked
GConf	dbus-glib	linked
GConf	e2fsprogs	lib
GConf	elogind	lib
GConf	glib2	linked
GConf	libxml2	linked
GConf	openssl	lib
GConf	openssl-solibs	lib
GConf	polkit	linked
GConf	python-lxml	hint:import
GConf	util-linux	lib
Imath	aaa_glibc-solibs	linked
Imath	aaa_libraries	linked
Imath	boost	linked
LibRaw	aaa_glibc-solibs	linked
LibRaw	aaa_libraries	linked
LibRaw	lcms2	linked
MPlayer	a52dec	linked
MPlayer	aaa_glibc-solibs	linked
MPlayer	aaa_libraries	linked
MPlayer	aalib	linked
MPlayer	aom	lib
MPlayer	at-spi2-core	linked
MPlayer	audiofile	lib
MPlayer	brotli	lib
MPlayer	cairo	linked
MPlayer	cyrus-sasl	lib
MPlayer	dav1d	lib
MPlayer	dbus	lib
MPlayer	e2fsprogs	lib
MPlayer	esound	linked
MPlayer	ffmpeg	linked
MPlayer	flac	lib
MPlayer	fontconfig	linked
MPlayer	freeglut	lib
MPlayer	freetype	linked
MPlayer	fribidi	linked
MPlayer	gdk-pixbuf2	linked
MPlayer	glib2	linked
MPlayer	glu	lib
MPlayer	gnutls	linked
MPlayer	graphite2	lib
MPlayer	gtk+2	linked
MPlayer	harfbuzz	linked
MPlayer	icu4c	lib
MPlayer	jansson	lib
MPlayer	lame	linked
MPlayer	lcms2	lib
MPlayer	libX11	linked
MPlayer	libXScrnSaver	linked
MPlayer	libXau	lib
MPlayer	libXcomposite	lib
MPlayer	libXcursor	lib
MPlayer	libXdamage	lib
MPlayer	libXdmcp	lib
MPlayer	libXext	linked
MPlayer	libXfixes	lib
MPlayer	libXi	lib
MPlayer	libXinerama	linked
MPlayer	libXrandr	lib
MPlayer	libXrender	lib
MPlayer	libXv	linked
MPlayer	libXxf86dga	linked
MPlayer	libXxf86vm	linked
MPlayer	libass	linked
MPlayer	libasyncns	lib
MPlayer	libbluray	linked
MPlayer	libcaca	linked
MPlayer	libcdio	linked
MPlayer	libcdio-paranoia	linked
MPlayer	libdrm	lib
MPlayer	libdvdnav	linked
MPlayer	libdvdread	linked
MPlayer	libgcrypt	lib
MPlayer	libglvnd	linked
MPlayer	libmad	linked
MPlayer	libmng	linked
MPlayer	libogg	linked
MPlayer	librsvg	lib
MPlayer	libsndfile	lib
MPlayer	libssh	lib
MPlayer	libtheora	linked
MPlayer	libunibreak	lib
MPlayer	libva	lib
MPlayer	libvdpau	lib
MPlayer	libvorbis	linked
MPlayer	libvpx	lib
MPlayer	libwebp	lib
MPlayer	libxcb	lib
MPlayer	libxml2	lib
MPlayer	lzo	linked
MPlayer	mpg123	linked
MPlayer	nettle	lib
MPlayer	ocl-icd	lib
MPlayer	openal-soft	linked
MPlayer	openjpeg	lib
MPlayer	openssl	lib
MPlayer	openssl-solibs	lib
MPlayer	opus	linked
MPlayer	p11-kit	lib
MPlayer	pango	linked
MPlayer	pixman	lib
MPlayer	pulseaudio	linked
MPlayer	samba	linked
MPlayer	sdl	linked
MPlayer	speex	linked
MPlayer	talloc	lib
MPlayer	tevent	lib
MPlayer	util-linux	lib
MPlayer	vulkan-sdk	lib
Mako	python-MarkupSafe	hint:import
Mako	python-babel	hint:import
Mako	python-pygments	hint:import
ModemManager	aaa_glibc-solibs	linked
ModemManager	aaa_libraries	linked
ModemManager	elogind	lib
ModemManager	glib2	linked
ModemManager	libgudev	linked
ModemManager	libmbim	linked
ModemManager	libqmi	linked
ModemManager	libqrtr-glib	linked
ModemManager	polkit	linked
ModemManager	util-linux	lib
NetworkManager-openvpn	NetworkManager	linked
NetworkManager-openvpn	aaa_glibc-solibs	linked
NetworkManager-openvpn	aaa_libraries	linked
NetworkManager-openvpn	at-spi2-core	linked
NetworkManager-openvpn	brotli	lib
NetworkManager-openvpn	cairo	linked
NetworkManager-openvpn	dbus	lib
NetworkManager-openvpn	fontconfig	lib
NetworkManager-openvpn	freetype	lib
NetworkManager-openvpn	fribidi	lib
NetworkManager-openvpn	gcr4	lib
NetworkManager-openvpn	gdk-pixbuf2	linked
NetworkManager-openvpn	glib2	linked
NetworkManager-openvpn	graphite2	lib
NetworkManager-openvpn	gtk+3	linked
NetworkManager-openvpn	harfbuzz	linked
NetworkManager-openvpn	libX11	lib
NetworkManager-openvpn	libXau	lib
NetworkManager-openvpn	libXcomposite	lib
NetworkManager-openvpn	libXcursor	lib
NetworkManager-openvpn	libXdamage	lib
NetworkManager-openvpn	libXdmcp	lib
NetworkManager-openvpn	libXext	lib
NetworkManager-openvpn	libXfixes	lib
NetworkManager-openvpn	libXi	lib
NetworkManager-openvpn	libXinerama	lib
NetworkManager-openvpn	libXrandr	lib
NetworkManager-openvpn	libXrender	lib
NetworkManager-openvpn	libXres	lib
NetworkManager-openvpn	libepoxy	lib
NetworkManager-openvpn	libgcrypt	lib
NetworkManager-openvpn	libnma	linked
NetworkManager-openvpn	libsecret	linked
NetworkManager-openvpn	libxcb	lib
NetworkManager-openvpn	mozilla-nss	lib
NetworkManager-openvpn	openvpn	hint:exec
NetworkManager-openvpn	p11-kit	lib
NetworkManager-openvpn	pango	linked
NetworkManager-openvpn	pixman	lib
NetworkManager-openvpn	util-linux	lib
NetworkManager-openvpn	wayland	lib
NetworkManager	ModemManager	linked
NetworkManager	aaa_glibc-solibs	linked
NetworkManager	aaa_libraries	linked
NetworkManager	brotli	lib
NetworkManager	cyrus-sasl	lib
NetworkManager	dnsmasq	hint:exec
NetworkManager	e2fsprogs	lib
NetworkManager	elogind	linked
NetworkManager	glib2	linked
NetworkManager	jansson	linked
NetworkManager	libndp	linked
NetworkManager	libnvme	hint:dlopen
NetworkManager	mozilla-nss	linked
NetworkManager	newt	linked
NetworkManager	nftables	hint:exec
NetworkManager	nghttp2	lib
NetworkManager	nghttp3	lib
NetworkManager	ngtcp2	lib
NetworkManager	openssl	lib
NetworkManager	openssl-solibs	lib
NetworkManager	ppp	hint:exec
NetworkManager	util-linux	lib
OpenCC	aaa_glibc-solibs	linked
OpenCC	aaa_libraries	linked
OpenCC	marisa	linked
PyQt-builder	python-packaging	hint:import
PyQt5	PyQt5_sip	hint:import
PyQt5	aaa_glibc-solibs	linked
PyQt5	aaa_libraries	linked
PyQt5	dbus	linked
PyQt5	e2fsprogs	lib
PyQt5	flac	lib
PyQt5	icu4c	lib
PyQt5	lame	lib
PyQt5	libX11	lib
PyQt5	libXau	lib
PyQt5	libXdmcp	lib
PyQt5	libXext	lib
PyQt5	libasyncns	lib
PyQt5	libglvnd	linked
PyQt5	libogg	lib
PyQt5	libsndfile	lib
PyQt5	libvorbis	lib
PyQt5	libxcb	lib
PyQt5	mpg123	lib
PyQt5	openssl	lib
PyQt5	openssl-solibs	lib
PyQt5	opus	lib
PyQt5	pcre2	lib
PyQt5	pulseaudio	lib
PyQt5	python3	linked
PyQt5	qt5	linked
PyQt5_sip	aaa_glibc-solibs	linked
PyQt6	PyQt6_sip	hint:import
PyQt6	aaa_glibc-solibs	linked
PyQt6	aaa_libraries	linked
PyQt6	brotli	lib
PyQt6	cyrus-sasl	lib
PyQt6	dbus	linked
PyQt6	duktape	lib
PyQt6	e2fsprogs	lib
PyQt6	flac	lib
PyQt6	fontconfig	lib
PyQt6	freetype	lib
PyQt6	glib2	lib
PyQt6	graphite2	lib
PyQt6	harfbuzz	lib
PyQt6	icu4c	lib
PyQt6	lame	lib
PyQt6	libX11	lib
PyQt6	libXau	lib
PyQt6	libXdmcp	lib
PyQt6	libXext	lib
PyQt6	libasyncns	lib
PyQt6	libglvnd	linked
PyQt6	libogg	lib
PyQt6	libproxy	lib
PyQt6	libsndfile	lib
PyQt6	liburing	lib
PyQt6	libvorbis	lib
PyQt6	libxcb	lib
PyQt6	mpg123	lib
PyQt6	nghttp2	lib
PyQt6	nghttp3	lib
PyQt6	ngtcp2	lib
PyQt6	openjpeg	lib
PyQt6	openssl	lib
PyQt6	openssl-solibs	lib
PyQt6	opus	lib
PyQt6	pcre2	lib
PyQt6	pcsc-lite	lib
PyQt6	pulseaudio	lib
PyQt6	python3	linked
PyQt6	qt6	linked
PyQt6	util-linux	lib
PyQt6_sip	aaa_glibc-solibs	linked
SDL2	aaa_glibc-solibs	linked
SDL2	aaa_libraries	hint:dlopen
SDL2	dbus	hint:dlopen
SDL2	esound	hint:dlopen
SDL2	libX11	hint:dlopen
SDL2	libXScrnSaver	hint:dlopen
SDL2	libXcursor	hint:dlopen
SDL2	libXext	hint:dlopen
SDL2	libXfixes	hint:dlopen
SDL2	libXi	hint:dlopen
SDL2	libXrandr	hint:dlopen
SDL2	libdrm	hint:dlopen
SDL2	libglvnd	hint:dlopen
SDL2	libsamplerate	hint:dlopen
SDL2	mesa	hint:dlopen
SDL2	pipewire	hint:dlopen
SDL2	pulseaudio	hint:dlopen
SDL2	vulkan-sdk	hint:dlopen
SDL2	wayland	hint:dlopen
SDL2_gfx	SDL2	linked
SDL2_gfx	aaa_glibc-solibs	linked
SDL2_image	SDL2	linked
SDL2_image	aaa_glibc-solibs	linked
SDL2_image	aaa_libraries	linked
SDL2_image	libdeflate	lib
SDL2_image	libwebp	linked
SDL2_mixer	SDL2	linked
SDL2_mixer	aaa_glibc-solibs	linked
SDL2_mixer	fluidsynth	hint:dlopen
SDL2_mixer	opusfile	hint:dlopen
SDL2_mixer	wavpack	hint:dlopen
SDL2_net	SDL2	linked
SDL2_net	aaa_glibc-solibs	linked
SDL2_ttf	SDL2	linked
SDL2_ttf	aaa_glibc-solibs	linked
SDL2_ttf	aaa_libraries	lib
SDL2_ttf	brotli	lib
SDL2_ttf	freetype	linked
SDL2_ttf	graphite2	lib
SDL2_ttf	harfbuzz	linked
SDL3	aaa_glibc-solibs	linked
SDL3	aaa_libraries	hint:dlopen
SDL3	dbus	hint:dlopen
SDL3	fribidi	hint:dlopen
SDL3	gtk+3	hint:dlopen
SDL3	libX11	hint:dlopen
SDL3	libXScrnSaver	hint:dlopen
SDL3	libXcursor	hint:dlopen
SDL3	libXext	hint:dlopen
SDL3	libXfixes	hint:dlopen
SDL3	libXi	hint:dlopen
SDL3	libXrandr	hint:dlopen
SDL3	libXtst	hint:dlopen
SDL3	libappindicator	hint:dlopen
SDL3	libdecor	hint:dlopen
SDL3	libdrm	hint:dlopen
SDL3	libglvnd	hint:dlopen
SDL3	liburing	hint:dlopen
SDL3	mesa	hint:dlopen
SDL3	pipewire	hint:dlopen
SDL3	pulseaudio	hint:dlopen
SDL3	vulkan-sdk	hint:dlopen
SDL3	wayland	hint:dlopen
SDL3_ttf	SDL3	linked
SDL3_ttf	aaa_glibc-solibs	linked
SDL3_ttf	aaa_libraries	lib
SDL3_ttf	brotli	lib
SDL3_ttf	freetype	linked
SDL3_ttf	graphite2	lib
SDL3_ttf	harfbuzz	linked
a2ps	aaa_glibc-solibs	linked
a2ps	gc	linked
a2ps	libpaper	linked
a52dec	aaa_glibc-solibs	linked
aaa_glibc-solibs	aaa_libraries	hint:dlopen
aaa_libraries	SDL2	linked
aaa_libraries	aaa_glibc-solibs	linked
aaa_libraries	aom	linked
aaa_libraries	avahi	linked
aaa_libraries	brotli	linked
aaa_libraries	cairo	linked
aaa_libraries	cyrus-sasl	linked
aaa_libraries	dav1d	linked
aaa_libraries	dbus	lib
aaa_libraries	e2fsprogs	linked
aaa_libraries	flac	lib
aaa_libraries	fontconfig	linked
aaa_libraries	freeglut	lib
aaa_libraries	freetype	linked
aaa_libraries	fribidi	lib
aaa_libraries	gdk-pixbuf2	lib
aaa_libraries	glib2	lib
aaa_libraries	glu	lib
aaa_libraries	gnutls	linked
aaa_libraries	graphite2	lib
aaa_libraries	harfbuzz	lib
aaa_libraries	icu4c	lib
aaa_libraries	jansson	lib
aaa_libraries	lame	linked
aaa_libraries	lcms2	linked
aaa_libraries	libX11	linked
aaa_libraries	libXau	lib
aaa_libraries	libXdmcp	lib
aaa_libraries	libXext	linked
aaa_libraries	libXfixes	lib
aaa_libraries	libXi	lib
aaa_libraries	libXrandr	lib
aaa_libraries	libXrender	lib
aaa_libraries	libXv	linked
aaa_libraries	libXxf86vm	lib
aaa_libraries	libass	linked
aaa_libraries	libasyncns	lib
aaa_libraries	libbluray	linked
aaa_libraries	libcaca	linked
aaa_libraries	libcdio	lib
aaa_libraries	libcdio-paranoia	linked
aaa_libraries	libdeflate	linked
aaa_libraries	libdrm	linked
aaa_libraries	libgcrypt	linked
aaa_libraries	libglvnd	linked
aaa_libraries	libogg	lib
aaa_libraries	libplacebo	linked
aaa_libraries	librsvg	linked
aaa_libraries	libsndfile	lib
aaa_libraries	libssh	linked
aaa_libraries	libtheora	linked
aaa_libraries	libunibreak	lib
aaa_libraries	libva	linked
aaa_libraries	libvdpau	linked
aaa_libraries	libvorbis	linked
aaa_libraries	libvpx	linked
aaa_libraries	libwebp	linked
aaa_libraries	libxcb	linked
aaa_libraries	libxml2	linked
aaa_libraries	mpg123	lib
aaa_libraries	nettle	lib
aaa_libraries	nghttp2	linked
aaa_libraries	nghttp3	linked
aaa_libraries	ngtcp2	linked
aaa_libraries	ocl-icd	linked
aaa_libraries	openal-soft	linked
aaa_libraries	openjpeg	linked
aaa_libraries	openssl	linked
aaa_libraries	openssl-solibs	linked
aaa_libraries	opus	linked
aaa_libraries	p11-kit	lib
aaa_libraries	pango	lib
aaa_libraries	pixman	lib
aaa_libraries	pulseaudio	linked
aaa_libraries	samba	linked
aaa_libraries	speex	linked
aaa_libraries	talloc	lib
aaa_libraries	tevent	lib
aaa_libraries	util-linux	lib
aaa_libraries	v4l-utils	linked
aaa_libraries	vid.stab	linked
aaa_libraries	vulkan-sdk	linked
aalib	aaa_glibc-solibs	linked
aalib	aaa_libraries	linked
aalib	libX11	linked
aalib	libXau	lib
aalib	libXdmcp	lib
aalib	libxcb	lib
abseil-cpp	aaa_glibc-solibs	linked
abseil-cpp	aaa_libraries	linked
accessibility-inspector	aaa_glibc-solibs	linked
accessibility-inspector	aaa_libraries	linked
accessibility-inspector	breeze-icons	lib
accessibility-inspector	brotli	lib
accessibility-inspector	cyrus-sasl	lib
accessibility-inspector	dbus	lib
accessibility-inspector	duktape	lib
accessibility-inspector	e2fsprogs	lib
accessibility-inspector	fontconfig	lib
accessibility-inspector	freetype	lib
accessibility-inspector	glib2	lib
accessibility-inspector	graphite2	lib
accessibility-inspector	harfbuzz	lib
accessibility-inspector	icu4c	lib
accessibility-inspector	karchive	lib
accessibility-inspector	kcodecs	lib
accessibility-inspector	kcolorscheme	linked
accessibility-inspector	kconfig	linked
accessibility-inspector	kconfigwidgets	linked
accessibility-inspector	kcoreaddons	linked
accessibility-inspector	kcrash	linked
accessibility-inspector	kdbusaddons	linked
accessibility-inspector	kglobalaccel	lib
accessibility-inspector	kguiaddons	linked
accessibility-inspector	ki18n	linked
accessibility-inspector	kiconthemes	lib
accessibility-inspector	kitemviews	lib
accessibility-inspector	kwidgetsaddons	linked
accessibility-inspector	kxmlgui	linked
accessibility-inspector	libX11	lib
accessibility-inspector	libXau	lib
accessibility-inspector	libXdmcp	lib
accessibility-inspector	libXext	lib
accessibility-inspector	libglvnd	linked
accessibility-inspector	libproxy	lib
accessibility-inspector	libqaccessibilityclient	linked
accessibility-inspector	liburing	lib
accessibility-inspector	libxcb	lib
accessibility-inspector	nghttp2	lib
accessibility-inspector	nghttp3	lib
accessibility-inspector	ngtcp2	lib
accessibility-inspector	openssl	lib
accessibility-inspector	openssl-solibs	lib
accessibility-inspector	pcre2	lib
accessibility-inspector	qt6	linked
accessibility-inspector	util-linux	lib
accessibility-inspector	wayland	lib
accountsservice	aaa_glibc-solibs	linked
accountsservice	aaa_libraries	linked
accountsservice	elogind	linked
accountsservice	glib2	linked
accountsservice	polkit	linked
accountsservice	shadow	hint:exec
accountsservice	util-linux	lib
acct	aaa_glibc-solibs	linked
acl	aaa_glibc-solibs	linked
acl	aaa_libraries	linked
acpi	aaa_glibc-solibs	linked
acpid	aaa_glibc-solibs	linked
aha	aaa_glibc-solibs	linked
akonadi-calendar-tools	aaa_glibc-solibs	linked
akonadi-calendar-tools	aaa_libraries	linked
akonadi-calendar-tools	akonadi	linked
akonadi-calendar-tools	akonadi-calendar	linked
akonadi-calendar-tools	akonadi-contacts	lib
akonadi-calendar-tools	akonadi-mime	lib
akonadi-calendar-tools	akonadi-search	lib
akonadi-calendar-tools	aom	lib
akonadi-calendar-tools	attica	lib
akonadi-calendar-tools	breeze-icons	lib
akonadi-calendar-tools	brotli	lib
akonadi-calendar-tools	cairo	lib
akonadi-calendar-tools	calendarsupport	linked
akonadi-calendar-tools	cyrus-sasl	lib
akonadi-calendar-tools	dav1d	lib
akonadi-calendar-tools	db48	lib
akonadi-calendar-tools	dbus	lib
akonadi-calendar-tools	duktape	lib
akonadi-calendar-tools	e2fsprogs	lib
akonadi-calendar-tools	ffmpeg	lib
akonadi-calendar-tools	flac	lib
akonadi-calendar-tools	fontconfig	lib
akonadi-calendar-tools	freetype	lib
akonadi-calendar-tools	fribidi	lib
akonadi-calendar-tools	gdk-pixbuf2	lib
akonadi-calendar-tools	glib2	lib
akonadi-calendar-tools	gnutls	lib
akonadi-calendar-tools	gpgme	lib
akonadi-calendar-tools	gpgmepp	lib
akonadi-calendar-tools	grantleetheme	lib
akonadi-calendar-tools	graphite2	lib
akonadi-calendar-tools	harfbuzz	lib
akonadi-calendar-tools	icu4c	lib
akonadi-calendar-tools	jansson	lib
akonadi-calendar-tools	karchive	lib
akonadi-calendar-tools	kbookmarks	lib
akonadi-calendar-tools	kcalendarcore	linked
akonadi-calendar-tools	kcalutils	lib
akonadi-calendar-tools	kcmutils	lib
akonadi-calendar-tools	kcodecs	lib
akonadi-calendar-tools	kcolorscheme	lib
akonadi-calendar-tools	kcompletion	lib
akonadi-calendar-tools	kconfig	linked
akonadi-calendar-tools	kconfigwidgets	lib
akonadi-calendar-tools	kcontacts	lib
akonadi-calendar-tools	kcoreaddons	linked
akonadi-calendar-tools	kcrash	lib
akonadi-calendar-tools	kglobalaccel	lib
akonadi-calendar-tools	kguiaddons	lib
akonadi-calendar-tools	kholidays	lib
akonadi-calendar-tools	ki18n	linked
akonadi-calendar-tools	kiconthemes	lib
akonadi-calendar-tools	kidentitymanagement	linked
akonadi-calendar-tools	kimap	lib
akonadi-calendar-tools	kio	lib
akonadi-calendar-tools	kitemmodels	linked
akonadi-calendar-tools	kitemviews	lib
akonadi-calendar-tools	kjobwidgets	lib
akonadi-calendar-tools	kldap	lib
akonadi-calendar-tools	kmailtransport	lib
akonadi-calendar-tools	kmbox	lib
akonadi-calendar-tools	kmime	linked
akonadi-calendar-tools	knewstuff	lib
akonadi-calendar-tools	knotifications	lib
akonadi-calendar-tools	kpackage	lib
akonadi-calendar-tools	kpimtextedit	lib
akonadi-calendar-tools	kservice	lib
akonadi-calendar-tools	ktextaddons	lib
akonadi-calendar-tools	ktexttemplate	lib
akonadi-calendar-tools	ktextwidgets	lib
akonadi-calendar-tools	kwidgetsaddons	linked
akonadi-calendar-tools	kwindowsystem	lib
akonadi-calendar-tools	kxmlgui	lib
akonadi-calendar-tools	lame	lib
akonadi-calendar-tools	lcms2	lib
akonadi-calendar-tools	libX11	lib
akonadi-calendar-tools	libXau	lib
akonadi-calendar-tools	libXcomposite	lib
akonadi-calendar-tools	libXdamage	lib
akonadi-calendar-tools	libXdmcp	lib
akonadi-calendar-tools	libXext	lib
akonadi-calendar-tools	libXfixes	lib
akonadi-calendar-tools	libXi	lib
akonadi-calendar-tools	libXrandr	lib
akonadi-calendar-tools	libXrender	lib
akonadi-calendar-tools	libXtst	lib
akonadi-calendar-tools	libassuan	lib
akonadi-calendar-tools	libasyncns	lib
akonadi-calendar-tools	libbluray	lib
akonadi-calendar-tools	libcanberra	lib
akonadi-calendar-tools	libdeflate	lib
akonadi-calendar-tools	libdmtx	lib
akonadi-calendar-tools	libdrm	lib
akonadi-calendar-tools	libgcrypt	lib
akonadi-calendar-tools	libglvnd	linked
akonadi-calendar-tools	libgravatar	lib
akonadi-calendar-tools	libical	lib
akonadi-calendar-tools	libimobiledevice	lib
akonadi-calendar-tools	libimobiledevice-glue	lib
akonadi-calendar-tools	libkdepim	lib
akonadi-calendar-tools	libkleo	lib
akonadi-calendar-tools	libogg	lib
akonadi-calendar-tools	libplist	lib
akonadi-calendar-tools	libproxy	lib
akonadi-calendar-tools	librsvg	lib
akonadi-calendar-tools	libsecret	lib
akonadi-calendar-tools	libsndfile	lib
akonadi-calendar-tools	libssh	lib
akonadi-calendar-tools	libtheora	lib
akonadi-calendar-tools	liburing	lib
akonadi-calendar-tools	libusbmuxd	lib
akonadi-calendar-tools	libva	lib
akonadi-calendar-tools	libvdpau	lib
akonadi-calendar-tools	libvorbis	lib
akonadi-calendar-tools	libvpx	lib
akonadi-calendar-tools	libwebp	lib
akonadi-calendar-tools	libxcb	lib
akonadi-calendar-tools	libxkbfile	lib
akonadi-calendar-tools	libxml2	lib
akonadi-calendar-tools	libxslt	lib
akonadi-calendar-tools	mesa	lib
akonadi-calendar-tools	messagelib	lib
akonadi-calendar-tools	mozilla-nss	lib
akonadi-calendar-tools	mpg123	lib
akonadi-calendar-tools	nettle	lib
akonadi-calendar-tools	nghttp2	lib
akonadi-calendar-tools	nghttp3	lib
akonadi-calendar-tools	ngtcp2	lib
akonadi-calendar-tools	ocl-icd	lib
akonadi-calendar-tools	openjpeg	lib
akonadi-calendar-tools	openssl	lib
akonadi-calendar-tools	openssl-solibs	lib
akonadi-calendar-tools	opus	lib
akonadi-calendar-tools	p11-kit	lib
akonadi-calendar-tools	pango	lib
akonadi-calendar-tools	pcre2	lib
akonadi-calendar-tools	pimcommon	lib
akonadi-calendar-tools	pixman	lib
akonadi-calendar-tools	prison	lib
akonadi-calendar-tools	pulseaudio	lib
akonadi-calendar-tools	purpose	lib
akonadi-calendar-tools	qgpgme	lib
akonadi-calendar-tools	qrencode	lib
akonadi-calendar-tools	qt6	linked
akonadi-calendar-tools	qtkeychain	lib
akonadi-calendar-tools	samba	lib
akonadi-calendar-tools	solid	lib
akonadi-calendar-tools	sonnet	lib
akonadi-calendar-tools	speex	lib
akonadi-calendar-tools	syndication	lib
akonadi-calendar-tools	syntax-highlighting	lib
akonadi-calendar-tools	talloc	lib
akonadi-calendar-tools	tevent	lib
akonadi-calendar-tools	util-linux	lib
akonadi-calendar-tools	wayland	lib
akonadi-calendar-tools	xapian-core	lib
akonadi-calendar-tools	xcb-util-keysyms	lib
akonadi-calendar-tools	zint	lib
akonadi-calendar-tools	zxing-cpp	lib
akonadi-calendar	aaa_glibc-solibs	linked
akonadi-calendar	aaa_libraries	linked
akonadi-calendar	akonadi	linked
akonadi-calendar	akonadi-contacts	linked
akonadi-calendar	akonadi-mime	linked
akonadi-calendar	akonadi-search	lib
akonadi-calendar	aom	lib
akonadi-calendar	attica	lib
akonadi-calendar	breeze-icons	lib
akonadi-calendar	brotli	lib
akonadi-calendar	cairo	lib
akonadi-calendar	cyrus-sasl	lib
akonadi-calendar	dav1d	lib
akonadi-calendar	db48	lib
akonadi-calendar	dbus	lib
akonadi-calendar	duktape	lib
akonadi-calendar	e2fsprogs	lib
akonadi-calendar	ffmpeg	lib
akonadi-calendar	flac	lib
akonadi-calendar	fontconfig	lib
akonadi-calendar	freetype	lib
akonadi-calendar	fribidi	lib
akonadi-calendar	gdk-pixbuf2	lib
akonadi-calendar	glib2	lib
akonadi-calendar	gnutls	lib
akonadi-calendar	gpgme	linked
akonadi-calendar	gpgmepp	linked
akonadi-calendar	grantleetheme	linked
akonadi-calendar	graphite2	lib
akonadi-calendar	harfbuzz	lib
akonadi-calendar	icu4c	lib
akonadi-calendar	jansson	lib
akonadi-calendar	karchive	lib
akonadi-calendar	kbookmarks	lib
akonadi-calendar	kcalendarcore	linked
akonadi-calendar	kcalutils	linked
akonadi-calendar	kcmutils	lib
akonadi-calendar	kcodecs	linked
akonadi-calendar	kcolorscheme	linked
akonadi-calendar	kcompletion	lib
akonadi-calendar	kconfig	linked
akonadi-calendar	kconfigwidgets	linked
akonadi-calendar	kcontacts	linked
akonadi-calendar	kcoreaddons	linked
akonadi-calendar	kcrash	linked
akonadi-calendar	kdbusaddons	linked
akonadi-calendar	kglobalaccel	lib
akonadi-calendar	kguiaddons	linked
akonadi-calendar	ki18n	linked
akonadi-calendar	kiconthemes	lib
akonadi-calendar	kidentitymanagement	linked
akonadi-calendar	kimap	linked
akonadi-calendar	kio	linked
akonadi-calendar	kitemmodels	linked
akonadi-calendar	kitemviews	lib
akonadi-calendar	kjobwidgets	linked
akonadi-calendar	kldap	lib
akonadi-calendar	kmailtransport	linked
akonadi-calendar	kmbox	lib
akonadi-calendar	kmime	linked
akonadi-calendar	knewstuff	lib
akonadi-calendar	knotifications	linked
akonadi-calendar	kpackage	lib
akonadi-calendar	kpimtextedit	linked
akonadi-calendar	kservice	linked
akonadi-calendar	ktextaddons	linked
akonadi-calendar	ktexttemplate	linked
akonadi-calendar	ktextwidgets	lib
akonadi-calendar	kwidgetsaddons	linked
akonadi-calendar	kwindowsystem	lib
akonadi-calendar	kxmlgui	linked
akonadi-calendar	lame	lib
akonadi-calendar	lcms2	lib
akonadi-calendar	libX11	lib
akonadi-calendar	libXau	lib
akonadi-calendar	libXcomposite	lib
akonadi-calendar	libXdamage	lib
akonadi-calendar	libXdmcp	lib
akonadi-calendar	libXext	lib
akonadi-calendar	libXfixes	lib
akonadi-calendar	libXi	lib
akonadi-calendar	libXrandr	lib
akonadi-calendar	libXrender	lib
akonadi-calendar	libXtst	lib
akonadi-calendar	libassuan	lib
akonadi-calendar	libasyncns	lib
akonadi-calendar	libbluray	lib
akonadi-calendar	libcanberra	lib
akonadi-calendar	libdeflate	lib
akonadi-calendar	libdmtx	lib
akonadi-calendar	libdrm	lib
akonadi-calendar	libgcrypt	lib
akonadi-calendar	libglvnd	linked
akonadi-calendar	libgravatar	lib
akonadi-calendar	libical	lib
akonadi-calendar	libimobiledevice	lib
akonadi-calendar	libimobiledevice-glue	lib
akonadi-calendar	libkdepim	linked
akonadi-calendar	libkleo	linked
akonadi-calendar	libogg	lib
akonadi-calendar	libplist	lib
akonadi-calendar	libproxy	lib
akonadi-calendar	librsvg	lib
akonadi-calendar	libsecret	lib
akonadi-calendar	libsndfile	lib
akonadi-calendar	libssh	lib
akonadi-calendar	libtheora	lib
akonadi-calendar	liburing	lib
akonadi-calendar	libusbmuxd	lib
akonadi-calendar	libva	lib
akonadi-calendar	libvdpau	lib
akonadi-calendar	libvorbis	lib
akonadi-calendar	libvpx	lib
akonadi-calendar	libwebp	lib
akonadi-calendar	libxcb	lib
akonadi-calendar	libxkbfile	lib
akonadi-calendar	libxml2	lib
akonadi-calendar	libxslt	lib
akonadi-calendar	mesa	lib
akonadi-calendar	messagelib	linked
akonadi-calendar	mozilla-nss	lib
akonadi-calendar	mpg123	lib
akonadi-calendar	nettle	lib
akonadi-calendar	nghttp2	lib
akonadi-calendar	nghttp3	lib
akonadi-calendar	ngtcp2	lib
akonadi-calendar	ocl-icd	lib
akonadi-calendar	openjpeg	lib
akonadi-calendar	openssl	lib
akonadi-calendar	openssl-solibs	lib
akonadi-calendar	opus	lib
akonadi-calendar	p11-kit	lib
akonadi-calendar	pango	lib
akonadi-calendar	pcre2	lib
akonadi-calendar	pimcommon	linked
akonadi-calendar	pixman	lib
akonadi-calendar	prison	lib
akonadi-calendar	pulseaudio	lib
akonadi-calendar	purpose	lib
akonadi-calendar	qgpgme	linked
akonadi-calendar	qrencode	lib
akonadi-calendar	qt6	linked
akonadi-calendar	qtkeychain	lib
